title,release_date,overview,tagline,genres,keywords,combined,processed,vector
What Other Couples Do,2013,"Married or dating? Then you'll love this smart, snarky, hilarious but heartbreaking film about relationships, sex &amp; love. Four couples gather for an L.A. dinner party and decide to play kissing game ""Seven Minutes in Heaven."" Be careful what you lust for!",Dinner. Dessert. Dysfunction.,"Comedy, Drama, Romance","love, troubled relationships","What Other Couples Do 2013 Married or dating? Then you'll love this smart, snarky, hilarious but heartbreaking film about relationships, sex &amp; love. Four couples gather for an L.A. dinner party and decide to play kissing game ""Seven Minutes in Heaven."" Be careful what you lust for! Comedy, Drama, Romance love, troubled relationships","['couple', 'marry', 'date', 'love', 'smart', 'snarky', 'hilarious', 'heartbreaking', 'film', 'relationship', 'sex', 'amp', 'love', 'couple', 'gather', 'dinner', 'party', 'decide', 'play', 'kissing', 'game', 'seven', 'minutes', 'heaven', 'careful', 'lust', 'comedy', 'drama', 'romance', 'love', 'troubled', 'relationship']","[-0.38412866  0.13886735  0.02210156 -0.00264131  0.3235516  -0.10763428
 -0.03592105 -0.00789436  0.08728439 -0.56504905  0.16082913 -0.3234068
 -0.29079974  0.28907824  0.13932082 -0.38802317 -0.19589986  0.3019613
 -0.3889437  -0.41223577 -0.08838625  0.0258853  -0.24823722 -0.04972578
  0.02477126  0.1496128  -0.29431608  0.19283056  0.37438977 -0.07153682
 -0.00918793 -0.05244413  0.37188333 -0.48816243 -0.20299286  0.20653796
  0.05512238  0.21964711 -0.25993133  0.16557963  0.5180882  -0.71102196
 -0.16696608 -0.18160601 -0.3633625  -0.11688891  0.02671785 -0.43055585
 -0.28696716  0.35607058  0.06004293 -0.1707873  -0.00640257  0.14360523
 -0.13237783 -0.19778048 -0.08244641  0.10074446 -0.2595668   0.23809981
  0.32690647 -0.11784449  0.15363428  0.05104413  0.36533982  0.3874842
  0.169185   -0.09067038  0.21760978  0.4337062  -0.19446406  0.39392814
  0.08477217 -0.10681124  0.4646031  -0.13484271  0.44217277 -0.02787987
 -0.19607379 -0.03408489 -0.21378551 -0.05730827 -0.12788673  0.20361145
 -0.34733635 -0.01943146 -0.17805114 -0.11543521  0.04147388 -0.09384487
 -0.23635411 -0.22531739 -0.02978524 -0.07885601 -0.46067965  0.44537264
  0.02357518  0.02259282 -0.11380297  0.61261845]"
Small Potatoes: Who Killed the USFL?,2009,"In 1983 the upstart United States Football League (USFL) had the audacity to challenge the almighty NFL. The new league did the unthinkable by playing in the spring and plucked three straight Heisman Trophy winners away from the NFL. The 12-team USFL played before crowds that averaged 25,000, and started off with respectable TV ratings. But with success came expansion and new owners, including a certain high profile and impatient real estate baron whose vision was at odds with the league’s founders. Soon, the USFL was reduced to waging a desperate anti-trust lawsuit against the NFL, which yielded an ironic verdict that effectively forced the league out of business. Now, almost a quarter of a century later, Academy Award-nominated and Peabody Award-winning director Mike Tollin, himself once a chronicler of the league, will showcase the remarkable influence of those three years on football history and attempt to answer the question, “Who Killed the USFL?”","For three glorious years, football was 365",Documentary,"sports, american football, sports documentary, sports league","Small Potatoes: Who Killed the USFL? 2009 In 1983 the upstart United States Football League (USFL) had the audacity to challenge the almighty NFL. The new league did the unthinkable by playing in the spring and plucked three straight Heisman Trophy winners away from the NFL. The 12-team USFL played before crowds that averaged 25,000, and started off with respectable TV ratings. But with success came expansion and new owners, including a certain high profile and impatient real estate baron whose vision was at odds with the league’s founders. Soon, the USFL was reduced to waging a desperate anti-trust lawsuit against the NFL, which yielded an ironic verdict that effectively forced the league out of business. Now, almost a quarter of a century later, Academy Award-nominated and Peabody Award-winning director Mike Tollin, himself once a chronicler of the league, will showcase the remarkable influence of those three years on football history and attempt to answer the question, “Who Killed the USFL?” Documentary sports, american football, sports documentary, sports league","['small', 'potatoes', 'kill', 'usfl', 'upstart', 'united', 'states', 'football', 'league', 'usfl', 'audacity', 'challenge', 'almighty', 'nfl', 'new', 'league', 'unthinkable', 'play', 'spring', 'pluck', 'straight', 'heisman', 'trophy', 'winner', 'away', 'nfl', 'team', 'usfl', 'play', 'crowd', 'average', 'start', 'respectable', 'tv', 'rating', 'success', 'come', 'expansion', 'new', 'owner', 'include', 'certain', 'high', 'profile', 'impatient', 'real', 'estate', 'baron', 'vision', 'odd', 'league', 'founder', 'soon', 'usfl', 'reduce', 'wage', 'desperate', 'anti', 'trust', 'lawsuit', 'nfl', 'yield', 'ironic', 'verdict', 'effectively', 'force', 'league', 'business', 'quarter', 'century', 'later', 'academy', 'award', 'nominate', 'peabody', 'award', 'win', 'director', 'mike', 'tollin', 'chronicler', 'league', 'showcase', 'remarkable', 'influence', 'year', 'football', 'history', 'attempt', 'answer', 'question', 'kill', 'usfl', 'documentary', 'sport', 'american', 'football', 'sport', 'documentary', 'sport', 'league']","[-0.23566735  0.2986801   0.06944925 -0.09310504  0.24435572 -0.06213784
  0.00348124  0.05511931  0.17359583 -0.39436215  0.0958147  -0.30229673
 -0.35165277  0.3358265   0.03028605 -0.35418797 -0.0328356   0.08082124
 -0.34143487 -0.46549538 -0.19471501  0.07880628 -0.22083221 -0.04315852
 -0.05251644 -0.04284559 -0.01018919  0.03762214  0.26156744  0.00157693
 -0.04239969  0.09134635  0.30873337 -0.49306285 -0.16108324  0.2840309
 -0.06468928  0.19059311 -0.17363012  0.11627021  0.3341707  -0.48778874
 -0.16118878 -0.20054406 -0.523019   -0.20730336  0.06083817 -0.11206011
 -0.17901298  0.2222081  -0.01101994 -0.20503953  0.17057428  0.12894943
 -0.02015374  0.03584789 -0.04694052  0.12648417 -0.22668391  0.11095661
  0.23465255 -0.05455178 -0.10235588 -0.00199112  0.5080321   0.45271087
  0.17116523 -0.1468088   0.22032246  0.42468575 -0.18061309  0.26349062
  0.06501067 -0.28818843  0.4440021  -0.05993626  0.32911482 -0.05661048
 -0.08071791  0.03939827 -0.10253554  0.02096995  0.13602771  0.13676484
 -0.10967842 -0.07213823 -0.17478114 -0.15125977 -0.15046433 -0.14168501
 -0.2018666  -0.26051173 -0.12266244  0.11718133 -0.43766162  0.3969685
  0.040621    0.02384588 -0.08820999  0.43528792]"
Death of a Soldier,1986,"Based on a true story, James Coburn portrays a military lawyer assigned to defend a confessed psychotic killer. Set in the context of WWII and the uneasy US-Australian military alliance. The accused killer claims to have killed 3 women in order to possess their voices. Despite the defense lawyer's concerns that the killer is not fit to stand trial, the US military presses forward with the case and its desire to have the killer executed in order to strengthen the shaky alliance.",The obscenity of war. The brutality of murder. The travesty of justice.,"Drama, History, War","australia, military court, based on true story, trial, murder, melbourne, australia, serial killer, true crime, diplomacy","Death of a Soldier 1986 Based on a true story, James Coburn portrays a military lawyer assigned to defend a confessed psychotic killer. Set in the context of WWII and the uneasy US-Australian military alliance. The accused killer claims to have killed 3 women in order to possess their voices. Despite the defense lawyer's concerns that the killer is not fit to stand trial, the US military presses forward with the case and its desire to have the killer executed in order to strengthen the shaky alliance. Drama, History, War australia, military court, based on true story, trial, murder, melbourne, australia, serial killer, true crime, diplomacy","['death', 'soldier', 'base', 'true', 'story', 'james', 'coburn', 'portray', 'military', 'lawyer', 'assign', 'defend', 'confess', 'psychotic', 'killer', 'set', 'context', 'wwii', 'uneasy', 'australian', 'military', 'alliance', 'accuse', 'killer', 'claim', 'kill', 'woman', 'order', 'possess', 'voice', 'despite', 'defense', 'lawyer', 'concern', 'killer', 'fit', 'stand', 'trial', 'military', 'press', 'forward', 'case', 'desire', 'killer', 'execute', 'order', 'strengthen', 'shaky', 'alliance', 'drama', 'history', 'war', 'australia', 'military', 'court', 'base', 'true', 'story', 'trial', 'murder', 'melbourne', 'australia', 'serial', 'killer', 'true', 'crime', 'diplomacy']","[-0.15744236  0.37108544  0.06298424  0.05501379  0.23943411  0.02139692
  0.02596131  0.06369171 -0.01523706 -0.6036566   0.13200136 -0.3920704
 -0.45237467  0.4282147   0.00674204 -0.27046934 -0.04861897  0.4219768
 -0.29413536 -0.39583713 -0.14969255  0.24091342 -0.1472495   0.01178388
  0.1285844  -0.07956761 -0.06036592  0.0645461   0.3377973   0.10660544
 -0.0913958   0.05257795  0.42009038 -0.7464761  -0.12400147  0.253902
  0.02911132  0.30922455 -0.17899518  0.26010352  0.48303178 -0.55346334
 -0.22006811 -0.2880899  -0.56992304 -0.3409182  -0.07398006 -0.18465474
 -0.25548634  0.0983908  -0.07973394 -0.41042346  0.12229867 -0.05118843
  0.05529276 -0.01420082  0.07908863 -0.00406461 -0.16730686  0.19510381
  0.0133093  -0.15370391 -0.04449618  0.10286983  0.50425285  0.54765636
  0.23405658 -0.30468395  0.07614224  0.2482195  -0.18149407  0.31049678
 -0.02951228 -0.20874074  0.5171058   0.16947563  0.30369997 -0.02113958
 -0.00436221 -0.11514945 -0.21817814  0.1021967   0.16632201  0.11123407
 -0.20673433 -0.23980351 -0.36062568 -0.20405053 -0.09982982 -0.10398109
 -0.22889096 -0.20423958 -0.11371351  0.04165769 -0.29497665  0.48931986
  0.15025176 -0.07881602 -0.08696071  0.41688955]"
Fingers at the Window,1942,"In Chicago, an unemployed actor aims to solve the mystery concerning a string of ax murders, apparently committed by a lunatic.",DANGER AT NIGHTFALL!,"Mystery, Thriller","police, nurse, murder, ax","Fingers at the Window 1942 In Chicago, an unemployed actor aims to solve the mystery concerning a string of ax murders, apparently committed by a lunatic. Mystery, Thriller police, nurse, murder, ax","['finger', 'window', 'chicago', 'unemployed', 'actor', 'aim', 'solve', 'mystery', 'concern', 'string', 'ax', 'murder', 'apparently', 'commit', 'lunatic', 'mystery', 'thriller', 'police', 'nurse', 'murder', 'ax']","[-0.07627224  0.35246578 -0.02095862  0.02187102  0.20349039  0.09641803
 -0.0891095  -0.09751119 -0.12167777 -0.7188245   0.17974211 -0.32677096
 -0.35995826  0.41516098  0.03269995 -0.29673496 -0.12747203  0.40746352
 -0.24123733 -0.41958296 -0.09453476  0.16377828  0.00851497 -0.0058258
  0.12021624 -0.10210793 -0.09660455  0.11763395  0.3574554   0.05416138
 -0.06953445  0.14578688  0.40498707 -0.6244582  -0.14367306  0.30671716
  0.03663538  0.27089372 -0.13107985  0.16784573  0.48850113 -0.5126725
 -0.2212272  -0.4400926  -0.4688124  -0.43942514 -0.01034803 -0.22214746
 -0.2794927   0.1556542   0.08624639 -0.32835937 -0.0208635  -0.13751411
  0.0291047  -0.0505911   0.06061153 -0.0184617  -0.173977    0.23624747
  0.06369924 -0.24092402  0.02099279  0.18109877  0.47241968  0.64138436
  0.3194152  -0.2307781  -0.07292198  0.13207039 -0.24511991  0.29102486
 -0.02736617 -0.17514125  0.5400918   0.14288104  0.22563812  0.00970877
  0.0432969   0.08089532 -0.15047732  0.05040114  0.15477656  0.29089656
 -0.27942035 -0.21599826 -0.20416707 -0.08896409 -0.06169531 -0.07823084
 -0.39419657 -0.17736393 -0.00442786 -0.08498909 -0.26574874  0.5355361
  0.05869965 -0.1367037  -0.04753961  0.36993536]"
Summer in Holland,1992,Documentary about naturism in the Netherlands.,Enjoy a Naked Dutch Summer,Documentary,"nudism, naturism","Summer in Holland 1992 Documentary about naturism in the Netherlands. Documentary nudism, naturism","['summer', 'holland', 'documentary', 'naturism', 'netherlands', 'documentary', 'nudism', 'naturism']","[-7.36443698e-02  4.75827247e-01  9.67821032e-02 -1.03549555e-01
  3.24385673e-01 -1.97110385e-01 -3.54991555e-02  1.85607687e-01
  1.59930229e-01 -4.55102503e-01  3.15592915e-01 -2.78848916e-01
 -4.06250894e-01  3.69888872e-01  3.47456988e-03 -3.75682533e-01
 -4.49458463e-03  2.30828255e-01 -4.13005978e-01 -4.33448434e-01
 -4.26720142e-01  2.90476739e-01 -3.25573593e-01 -6.08721748e-05
 -2.09839687e-01 -1.82879195e-01 -3.85275707e-02  3.52330171e-02
  1.43337920e-01  1.43503577e-01  1.11671619e-01  1.73859730e-01
  2.42263585e-01 -5.70182264e-01 -2.00429752e-01  2.25652769e-01
  5.20987883e-02  2.86364019e-01 -4.76935990e-02  1.49776518e-01
  3.23935866e-01 -5.59364080e-01 -1.12615116e-01 -2.45648265e-01
 -5.18336833e-01 -1.98310554e-01  9.36227739e-02 -1.36430208e-02
 -2.84974635e-01  3.47575068e-01 -9.39695016e-02 -1.80367127e-01
  1.41333252e-01  2.75176764e-01 -1.19857870e-01  1.12219453e-01
 -4.87321727e-02  1.39348790e-01 -3.60920221e-01  1.09760068e-01
  7.31061026e-02 -1.38653010e-01 -1.31817423e-02 -2.80494634e-02
  6.00711405e-01  5.13833523e-01  1.69777557e-01 -1.37754217e-01
  2.68481135e-01  5.22450089e-01 -2.29451895e-01  2.84523040e-01
  1.12182207e-01 -4.21550095e-01  5.00105977e-01  7.92268217e-02
  2.20988408e-01  6.34239707e-03 -7.98637941e-02  1.70732550e-02
 -3.02749220e-04  1.38187679e-02  1.96539789e-01  1.69748187e-01
  1.54683068e-01 -7.06255808e-03 -2.29718000e-01 -9.78311002e-02
 -2.92825885e-02 -9.77853015e-02 -1.01500742e-01 -3.45821172e-01
 -1.37183920e-01  2.31613331e-02 -5.29202938e-01  5.53445697e-01
  1.81703597e-01 -2.77884863e-02 -5.20703383e-02  3.79048586e-01]"
Badminton,2009,A man chases a shuttlecock to the ends of the world.,Kejarlah cita-citamu hingga ke ujung kapal,Comedy,short film,Badminton 2009 A man chases a shuttlecock to the ends of the world. Comedy short film,"['badminton', 'man', 'chase', 'shuttlecock', 'end', 'world', 'comedy', 'short', 'film']","[-0.24381542  0.2791094   0.0865173  -0.06049656  0.12480392 -0.1098538
 -0.01842068 -0.00081745  0.24497612 -0.41020334  0.2126531  -0.46236813
 -0.3386834   0.30390036 -0.01438896 -0.30388525  0.01885761  0.1278297
 -0.30338886 -0.24000809 -0.23321141  0.15396689 -0.21295677 -0.09672617
  0.07693936  0.12520833 -0.09323391  0.0172129   0.3686539   0.04427464
 -0.02233778 -0.02796496  0.24975374 -0.51144385 -0.11618018  0.28212368
  0.04840768  0.23806927 -0.2225394   0.16951858  0.28352636 -0.5366811
 -0.2238725  -0.18708429 -0.44078344 -0.28553036 -0.02755479 -0.17577612
 -0.20789464  0.18654506 -0.04333192 -0.32644427  0.07146231  0.22777613
  0.06100492  0.01086013  0.02621792  0.10149404 -0.22675739  0.23914544
  0.34139445 -0.00537075 -0.11155829  0.11970004  0.42249775  0.52074
  0.03434416 -0.03706904  0.28047118  0.3581321  -0.26557928  0.26563078
 -0.00514784 -0.3794287   0.31795946 -0.01473115  0.41194567 -0.10677042
 -0.08637284 -0.0986453  -0.18847981  0.08734805  0.00511448  0.03984383
 -0.19378628 -0.06687129 -0.19985528 -0.12802808 -0.1904333  -0.15686162
 -0.2672364  -0.2568635  -0.13587676  0.13229655 -0.32260576  0.4030086
  0.20152044  0.1817939  -0.11923998  0.38688415]"
The Hollywood Kid,1924,"A short packed with more stars and gags than most features of its day, this film delivered a gaggle of guffaws!","With appearances by Mack Sennett, Andy Clyde, Vernon Dent, Ben Turpin, Marie Prevost, Billy Bevan, Charlie Murray, a dozen bathing beauties and a toothless lion!",Comedy,dog,"The Hollywood Kid 1924 A short packed with more stars and gags than most features of its day, this film delivered a gaggle of guffaws! Comedy dog","['hollywood', 'kid', 'short', 'pack', 'star', 'gag', 'feature', 'day', 'film', 'deliver', 'gaggle', 'guffaw', 'comedy', 'dog']","[-0.22776774  0.21984807  0.04161087 -0.05339373  0.2069209  -0.15616989
 -0.09023706  0.07932235  0.19829334 -0.39203587  0.22481093 -0.30589718
 -0.35912415  0.2644568   0.06527252 -0.4230363   0.01202222  0.16162504
 -0.26137516 -0.33383903 -0.26777902  0.07567434 -0.25325996 -0.00290492
  0.03597543 -0.00785753 -0.12823139  0.18535192  0.28788018  0.12066781
  0.05023546  0.01054994  0.31400922 -0.5161468  -0.2961723   0.20312299
 -0.05647358  0.15389569 -0.1920094   0.1416237   0.35165483 -0.5755414
 -0.21364684 -0.18183121 -0.4585574  -0.11641123 -0.040248   -0.126354
 -0.21955594  0.2899618  -0.00312353 -0.23575504  0.04397465  0.23900798
 -0.05105921  0.04575976 -0.00512633  0.19287941 -0.21865451  0.19883989
  0.334246   -0.13423894  0.03878103  0.08333437  0.40835267  0.44148564
  0.18484715 -0.07039504  0.24295315  0.4984703  -0.24790414  0.3663879
  0.12283961 -0.33297214  0.3696383  -0.01182849  0.44255152 -0.09818881
 -0.12552032 -0.00497069 -0.10080741  0.01402494 -0.02067756  0.09301044
 -0.10401511  0.04406258 -0.2233319  -0.1286762  -0.05214604 -0.12229236
 -0.25026765 -0.21208706 -0.2010154   0.02550211 -0.35119042  0.5116891
  0.11726993  0.04026886 -0.07588955  0.3845997 ]"
Sanctuary Population One,2018,"A young idealist, Ethan, is left searching for his family while fighting the infected, Med-Ex militia and bloodthirsty marauders, and the ghosts of his past.",His planet is sick. His people are sick. And he's sick of rules.,"Science Fiction, Action, Drama, Adventure, Thriller","post-apocalyptic future, apocalypse, woman director, infected","Sanctuary Population One 2018 A young idealist, Ethan, is left searching for his family while fighting the infected, Med-Ex militia and bloodthirsty marauders, and the ghosts of his past. Science Fiction, Action, Drama, Adventure, Thriller post-apocalyptic future, apocalypse, woman director, infected","['sanctuary', 'population', 'young', 'idealist', 'ethan', 'leave', 'search', 'family', 'fight', 'infect', 'med', 'ex', 'militia', 'bloodthirsty', 'marauder', 'ghost', 'past', 'science', 'fiction', 'action', 'drama', 'adventure', 'thriller', 'post', 'apocalyptic', 'future', 'apocalypse', 'woman', 'director', 'infect']","[-1.89497426e-01  5.45881391e-01  2.29752846e-02 -1.44298762e-01
  2.56335527e-01 -5.56836184e-03  1.72357466e-02 -1.16951391e-01
 -2.70523124e-05 -6.58911467e-01  2.95141906e-01 -4.45137650e-01
 -3.90555263e-01  3.82425696e-01 -1.13466404e-01 -3.53218108e-01
 -1.68666765e-01  4.01551992e-01 -3.23017418e-01 -2.79670328e-01
 -1.84039265e-01  2.52174824e-01 -9.47369635e-02 -4.00726870e-02
  1.52236536e-01  2.45363303e-02 -2.71930814e-01 -8.28799158e-02
  4.96641099e-01  4.82294671e-02  8.01880062e-02  1.33306429e-01
  3.77049536e-01 -6.30320728e-01 -1.71274602e-01  3.29277098e-01
  2.18113467e-01  2.80313641e-01 -1.40723392e-01  1.79519013e-01
  3.96543980e-01 -6.39223456e-01 -2.11826414e-01 -3.91498268e-01
 -3.28326285e-01 -4.07382309e-01  4.37158495e-02 -2.23318070e-01
 -2.77396888e-01  2.06206217e-01  1.28128499e-01 -2.60252982e-01
 -7.91378692e-03  1.20029710e-01  2.91407015e-02 -1.03072457e-01
 -8.75940733e-03 -1.12043239e-01 -1.94611937e-01  2.52590328e-01
  1.62480310e-01 -2.33862311e-01 -3.27053256e-02  1.18899688e-01
  5.42857051e-01  6.48916364e-01  1.56784639e-01 -8.00545141e-02
  6.40944438e-03  2.93957680e-01 -4.05935913e-01  7.53819048e-02
 -4.50373925e-02 -3.90032500e-01  4.99713361e-01  6.65233880e-02
  1.32553890e-01 -8.43662471e-02 -3.19211790e-03  9.18692648e-02
 -1.07688479e-01  1.14862919e-01 -7.77474314e-04  1.82704702e-01
 -2.62998134e-01 -1.06074102e-01 -1.29834086e-01 -5.98045252e-02
 -4.60425094e-02 -4.96826507e-02 -4.10264552e-01 -2.23040521e-01
  8.95788595e-02  1.45573437e-03 -4.01079118e-01  4.54958647e-01
  8.52251947e-02 -3.67518924e-02 -4.85111400e-02  5.21322906e-01]"
A Yank in the R.A.F.,1941,An American pilot impulsively joins His Majesty's Royal Air Force in Britain in an attempt to impress his ex-girlfriend.,ROLLICKING ROMANCE! GLORIOUS ADVENTURE!,"War, Action, Romance","world war ii, bomber pilot, royal air force","A Yank in the R.A.F. 1941 An American pilot impulsively joins His Majesty's Royal Air Force in Britain in an attempt to impress his ex-girlfriend. War, Action, Romance world war ii, bomber pilot, royal air force","['yank', 'american', 'pilot', 'impulsively', 'join', 'majesty', 'royal', 'air', 'force', 'britain', 'attempt', 'impress', 'ex', 'girlfriend', 'war', 'action', 'romance', 'world', 'war', 'ii', 'bomber', 'pilot', 'royal', 'air', 'force']","[-0.56935835  0.36454594  0.25915888 -0.1205255   0.31229818 -0.13072714
  0.13621719  0.04147662  0.25537115 -0.4319555   0.12785023 -0.5081903
 -0.43667713  0.3901947  -0.18478005 -0.3423896   0.0129439   0.11449211
 -0.27516904 -0.21925636 -0.22581416  0.22399612 -0.08362406 -0.05893115
  0.31376505  0.06408747 -0.12515491 -0.24070849  0.48440158 -0.02990904
 -0.06033812  0.2539226   0.33254215 -0.6791535  -0.20367058  0.3607401
  0.02705547  0.24007104 -0.47988883  0.15585545  0.42892724 -0.47300363
 -0.25491875 -0.21963656 -0.44651467 -0.14409108 -0.13150847 -0.21554863
 -0.16866711  0.16173944  0.02839404 -0.33186758  0.1658346   0.16889147
 -0.02622956 -0.06437963  0.05533685 -0.13479502 -0.15478942  0.12647094
  0.24961537  0.00526478 -0.09845587  0.10814114  0.341739    0.4664551
  0.1342526  -0.10983136  0.41926536  0.28971136 -0.26695377  0.06701584
 -0.1130344  -0.29407418  0.41360763  0.02766003  0.2572794  -0.24097288
  0.04854587  0.02042224 -0.20864983  0.20465595 -0.05552078  0.00985967
 -0.22990908 -0.1913253  -0.32110363 -0.21246585 -0.18332174 -0.15424015
 -0.33400363 -0.23817101  0.09488294  0.2461974  -0.37254974  0.22108574
  0.07284197  0.2759095  -0.04256853  0.52167225]"
Hammers Over the Anvil,1994,"Set in the summer of 1910 in Australia the film follows the story of 14 year old Alan Marshall (Alexander Outhread) as he stumbles out of childhood towards the exciting yet forbidding world of adulthood.  For Alan, despite the effects of polio, there is only one passion in life - to become a great horseman just like his hero, the reclusive horse trainer East Driscoll (Russell Crowe). Alan is one of East's few friends and also one of the few who knows about the affair between East and the aristocratic English woman Grace McAlister (Charlotte Rampling). Things inevitably take a turn towards the tragic when East becomes determined to force Grace to leave her husband and run away with him. Hammers Over The Anvil is an evocative coming of age film from Australian director Ann Turner.","An aristocratic Englishwoman, an Australian horseman and a young boy on a journey towards the exciting but forbidden world of adults.","Romance, Drama",woman director,"Hammers Over the Anvil 1994 Set in the summer of 1910 in Australia the film follows the story of 14 year old Alan Marshall (Alexander Outhread) as he stumbles out of childhood towards the exciting yet forbidding world of adulthood.  For Alan, despite the effects of polio, there is only one passion in life - to become a great horseman just like his hero, the reclusive horse trainer East Driscoll (Russell Crowe). Alan is one of East's few friends and also one of the few who knows about the affair between East and the aristocratic English woman Grace McAlister (Charlotte Rampling). Things inevitably take a turn towards the tragic when East becomes determined to force Grace to leave her husband and run away with him. Hammers Over The Anvil is an evocative coming of age film from Australian director Ann Turner. Romance, Drama woman director","['hammer', 'anvil', 'set', 'summer', 'australia', 'film', 'follow', 'story', 'year', 'old', 'alan', 'marshall', 'alexander', 'outhread', 'stumble', 'childhood', 'exciting', 'forbid', 'world', 'adulthood', 'alan', 'despite', 'effect', 'polio', 'passion', 'life', 'great', 'horseman', 'like', 'hero', 'reclusive', 'horse', 'trainer', 'east', 'driscoll', 'russell', 'crowe', 'alan', 'east', 'friend', 'know', 'affair', 'east', 'aristocratic', 'english', 'woman', 'grace', 'mcalister', 'charlotte', 'rampling', 'thing', 'inevitably', 'turn', 'tragic', 'east', 'determined', 'force', 'grace', 'leave', 'husband', 'run', 'away', 'hammer', 'anvil', 'evocative', 'coming', 'age', 'film', 'australian', 'director', 'ann', 'turner', 'romance', 'drama', 'woman', 'director']","[-0.23572189  0.2248238   0.05571287 -0.06738017  0.23473465 -0.04885438
 -0.03941018 -0.0235889   0.14294548 -0.47005868  0.13169666 -0.38407058
 -0.3210536   0.35794398  0.03726712 -0.3126638  -0.0772518   0.1734777
 -0.35161692 -0.338111   -0.1025672   0.08990166 -0.1943832  -0.05262994
  0.0159914   0.11059401 -0.12988652  0.02295933  0.3557411  -0.05289233
 -0.01239628 -0.00292499  0.34349766 -0.55340344 -0.1518078   0.28131208
  0.05434153  0.1697909  -0.24259643  0.18710744  0.39430287 -0.5469795
 -0.18683119 -0.2640818  -0.44008005 -0.16664009  0.03288989 -0.2645253
 -0.17148946  0.2411393   0.05324702 -0.2847378   0.03306135  0.13010205
 -0.01887063 -0.03992773 -0.0028983   0.07685743 -0.23722039  0.23529176
  0.26687223 -0.06396405 -0.09159195  0.06342023  0.45354533  0.52619034
  0.07919769 -0.13262203  0.21740411  0.32175767 -0.22097073  0.25272596
 -0.01847745 -0.19204757  0.44566    -0.08141367  0.348606   -0.08270687
 -0.06191224  0.03012925 -0.1595697   0.02514414 -0.00210658  0.10887437
 -0.24863827 -0.07338472 -0.1717388  -0.11867484 -0.09945901 -0.10383791
 -0.2759401  -0.25435784 -0.05557359  0.03582877 -0.4118867   0.35253954
  0.02732193  0.06725299 -0.13191037  0.5267212 ]"
New Morals for Old,1932,"Proper parents who treat their adult children as teenagers have a son who wants to go to Paris to study art, and a daughter in love with a married man.","WHEN THE HEART SAYS ""YES"" AND THE PARENTS SAY ""NO!"" -which choice shall Youth make?","Drama, Romance","love affair, pre-code, nagging mother, overprotective parent","New Morals for Old 1932 Proper parents who treat their adult children as teenagers have a son who wants to go to Paris to study art, and a daughter in love with a married man. Drama, Romance love affair, pre-code, nagging mother, overprotective parent","['new', 'morals', 'old', 'proper', 'parent', 'treat', 'adult', 'child', 'teenager', 'son', 'want', 'paris', 'study', 'art', 'daughter', 'love', 'married', 'man', 'drama', 'romance', 'love', 'affair', 'pre', 'code', 'nag', 'mother', 'overprotective', 'parent']","[-0.40630335  0.13652144  0.06247266 -0.0129957   0.30165154 -0.06653137
 -0.05912996 -0.02902126  0.06773608 -0.62880147  0.13911352 -0.39298695
 -0.23012006  0.39264843  0.10400076 -0.49913815 -0.3161525   0.3288326
 -0.33951405 -0.41019017  0.01034575  0.01019581 -0.15140338 -0.13012251
  0.04524624  0.24158922 -0.27857712  0.22475462  0.30055836 -0.05470723
 -0.09944733  0.07478457  0.38312107 -0.61975557 -0.15273687  0.31692797
  0.08344086  0.12472792 -0.2939687   0.15288672  0.37514272 -0.6352811
 -0.23188208 -0.20438662 -0.37920156 -0.06215355  0.08018405 -0.45520434
 -0.2320532   0.37444717  0.02189715 -0.283527   -0.08283509  0.12968014
 -0.12004865 -0.21371011 -0.05599654  0.02372842 -0.29970938  0.3869253
  0.28947276 -0.11046205  0.13941033  0.07334495  0.34141353  0.50989026
  0.22104219 -0.08090675  0.17155881  0.24891974 -0.25002334  0.41533828
  0.02990962 -0.00099946  0.4437663  -0.16312459  0.36633995  0.01374462
 -0.12450434 -0.01408661 -0.21525018 -0.18266304 -0.11030297  0.30538085
 -0.4103799  -0.11752845 -0.23462008 -0.14935069 -0.01559786 -0.09575986
 -0.32810187 -0.18010844 -0.018301   -0.13195556 -0.46773848  0.3880382
 -0.08608069  0.17693308 -0.15149724  0.5972217 ]"
